Good performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Bad performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Good performer;Good performer;Good performer;Good performer;Good performer;Good performer;Good performer;Bad performer;Bad performer;Bad performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Bad performer;Good performer;Bad performer;Good performer;;;;;;;;;;;;;;;;
LFQ intensity PL_11;LFQ intensity PL_12;LFQ intensity PL_13;LFQ intensity PL_14;LFQ intensity PL_16;LFQ intensity PL_17;LFQ intensity PL_2;LFQ intensity PL_21;LFQ intensity PL_22;LFQ intensity PL_25;LFQ intensity PL_28;LFQ intensity PL_36;LFQ intensity PL_37;LFQ intensity PL_4;LFQ intensity PL_40;LFQ intensity PL_42;LFQ intensity PL_43;LFQ intensity PL_44;LFQ intensity PL_56;LFQ intensity PL_57;LFQ intensity PL_59;LFQ intensity PL_61;LFQ intensity PL_62;LFQ intensity PL_64;LFQ intensity PL_65;LFQ intensity PL_67;LFQ intensity PL_71;LFQ intensity PL_73;LFQ intensity PL_77;LFQ intensity PL_78;LFQ intensity PL_79;LFQ intensity PL_80;LFQ intensity PL_82;LFQ intensity PL_83;LFQ intensity PL_84;LFQ intensity PL_87;Mean Good performer;Mean Bad performer;Student's T-test Significant Good performer_Bad performer;Student's T-test significant;Peptides;Unique peptides;Sequence coverage [%];Mol. weight [kDa];Score;-Log Student's T-test p-value Good performer_Bad performer;Student's T-test Difference Good performer_Bad performer;Student's T-test Test statistic Good performer_Bad performer;Protein IDs;Majority protein IDs;Protein names;Gene names
13,97536;19,70411;18,35514;18,08897;17,73873;17,36965;12,97845;18,21921;19,20113;13,41409;18,77214;14,36421;14,47781;17,86333;14,465;16,03619;14,34716;17,14231;16,84659;17,7859;16,03986;15,02583;16,00159;16,13961;11,87481;11,52415;13,0155;12,00331;11,44342;13,66105;13,74562;7,255123;13,1383;16,78979;11,75615;10,75613;15,75288792;13,63419379;+;Good performer_Bad performer;3;3;18,2;13,38;6,4896;1,805271518;2,294761732;2,544398674;P06312;P06312;Ig kappa chain V-IV region;IGKV4-1
17,4716;19,34557;16,72081;17,56115;18,75343;18,08182;16,39312;18,40416;17,74162;13,81615;16,5837;19,34373;18,98501;17,87706;16,0831;19,79402;18,71334;14,86036;19,91113;18,14878;18,71334;18,72047;18,02372;18,51426;18,61841;18,95816;12,0448;18,90762;12,37073;12,6139;14,22349;9,722614;14,0895;18,25944;13,83825;11,1872;17,72060208;15,41324386;+;Good performer_Bad performer;7;7;4,8;158,54;19,272;1,826307369;2,205399854;2,564582386;O75882;O75882;Attractin;ATRN
20,6536;17,39356;12,60829;13,0696;17,31699;15,79651;12,08097;12,41501;12,3139;18,84215;13,85103;19,20323;13,32216;17,41361;16,65215;14,79843;12,99894;17,62678;11,40334;13,89335;17,63821;18,11705;15,31865;18,3803;14,09441;10,56289;12,43469;18,88771;16,18197;13,37405;13,33681;11,23229;19,65018;11,44059;12,47187;19,91099;15,84205458;13,86215786;+;Good performer_Bad performer;3;3;9,5;52,39;24,858;1,54562192;2,165843815;2,288149684;Q13228;Q13228;Selenium-binding protein 1;SELENBP1
17,79747;17,94089;16,18598;16,43048;16,62485;18,09435;13,83707;15,89328;15,37609;13,79663;17,36222;18,33612;13,15952;11,94342;14,49198;14,96254;13,33583;16,04687;20,11566;14,61471;18,51595;18,26132;16,5438;18,6812;16,53105;18,02145;14,86109;17,74261;17,0058;13,00544;12,5174;18,56212;14,24164;17,76351;12,50462;15,94565;16,51320375;14,99311286;+;Good performer_Bad performer;10;10;13,8;71,369;41,41;1,765115417;1,695388794;2,505646618;"P03952;P20718";P03952;"Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain";KLKB1
17,94838;17,11939;17,72227;16,96296;18,73102;17,35982;15,43111;18,3982;15,10222;14,58493;18,42497;18,56443;18,76335;17,76662;14,56117;14,82121;15,04205;17,57282;17,24079;11,95919;16,97813;18,19701;17,04057;15,79236;17,22628;15,51481;15,87457;16,41513;14,35721;12,05293;14,0683;17,79589;12,83761;15,27176;13,62423;16,75042;16,51631;15,35064071;+;Good performer_Bad performer;6;6;9,4;65,163;18,392;1,600347698;1,420501752;2,34334017;P07357;P07357;Complement component C8 alpha chain;C8A
13,68297;11,56818;12,227;13,5538;13,08569;13,44966;18,26008;13,65531;18,2082;13,71315;15,1511;16,59056;16,76033;14,89183;13,70763;15,80437;15,96387;11,23484;12,72042;11,62159;12,81501;12,78297;12,77551;11,03124;12,09597;12,09856;14,49953;13,27076;15,28926;12,00659;14,33804;16,73384;16,14067;11,27406;17,88554;16,63991;13,64937125;15,00061214;+;Good performer_Bad performer;9;5;21,8;70,051;57,76;1,431595512;-1,477000181;-2,170846163;"P0DMV9;P0DMV8;P34931";"P0DMV9;P0DMV8";"Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A";"HSPA1B;HSPA1A"
13,27928;12,13219;15,80763;13,53597;11,86016;15,29265;22,9889;11,56138;18,67407;15,03272;14,6821;11,90693;13,13067;17,47927;15,05326;13,79217;13,39042;12,08743;17,22468;11,7558;12,97694;12,20986;13,04707;12,43468;14,56829;12,13086;13,05328;11,58743;10,87972;14,79284;17,02648;15,10689;14,3326;12,42293;13,90703;17,10564;13,51176333;15,15464714;+;Good performer_Bad performer;25;24;34;83,868;109,12;1,374966761;-1,696230374;-2,111330465;P05164;P05164;"Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain";MPO
13,19957;16,42576;17,74241;11,8983;13,16213;13,04521;22,42468;14,4166;15,16855;14,09858;17,12394;13,93206;15,81218;16,82972;13,82153;14,50033;15,8377;12,98246;12,59275;11,10319;11,12093;11,37614;16,36875;16,7529;17,1137;16,58042;14,77365;18,9697;17,04687;11,86684;13,29447;16,1957;16,02845;15,9923;12,96642;15,57317;14,1733925;16,02833143;+;Good performer_Bad performer;3;3;31,6;13,085;15,66;1,524156916;-1,76735826;-2,266312719;P23083;P23083;Ig heavy chain V-I region V35;IGHV1-2
12,8655;12,89485;17,33682;12,1429;14,636;13,72959;18,23107;11,65185;17,63729;13,21;13,79737;12,98386;14,50401;12,68357;13,78619;14,78414;13,67423;12,51604;19,0807;12,70541;17,19979;17,42726;17,5173;12,59949;17,48156;17,40283;17,14927;19,10075;17,37645;13,80376;13,05821;17,27057;17,66254;12,86623;13,97571;11,00628;14,11460958;16,10513286;+;Good performer_Bad performer;2;2;25,6;12,933;21,173;1,773010662;-1,91069894;-2,513289289;P01743;P01743;Ig heavy chain V-I region HG3;IGHV1-46
